post_id,post_date,is_published,email_sent_at,type,audience,title,subtitle,podcast_url
47457972.the-liberty-of-patrick-henry,2022-01-22T01:19:12.847Z,true,2022-01-22T01:19:12.921Z,newsletter,everyone,"Þe ""Liberty"" of Patrick Henry","His speech of June 24, 1788, in opposition to ratification of the Constitution",
47431798.frederick-douglass-1869-our-composite,2022-01-20T15:47:39.600Z,true,2022-01-20T15:47:39.675Z,newsletter,everyone,READING: Frederick Douglass (1869): Our Composite Nationality,"Massachusetts-Style American Nationalism, to the MAX!",
47306872.substack-ios-app-turns-out-to-be,2022-03-09T19:59:31.612Z,true,2022-03-09T19:59:31.713Z,newsletter,everyone,"SubStack iOS App Turns Out to Be, for Me, a Remarkably Useful Short Podcast Player & Generator, & ",BRIEFLY NOTED: 2022-03-09 We,
47263782.microprocessors-as-a-leading-sector,2022-03-04T01:06:11.464Z,true,2022-03-04T01:06:11.781Z,newsletter,everyone,Microprocessors as a Leading Sector,& BRIEFLY NOTED: For 2022-03-03 Th,
47263710.the-remarkable-preservation-of-classical,2022-01-27T13:30:09.462Z,true,2022-01-27T13:30:09.522Z,newsletter,only_paid,Þe Remarkable Preservation of Classical Texts ,& BRIEFLY NOTED: For 2022-01-27 Th,
47263609.the-killer-app-of-economics-and-history,2022-01-25T15:08:07.040Z,true,2022-01-25T15:08:07.149Z,newsletter,everyone,Þe Killer App of Economics & History Is Counting Things (& All Math Is Just Counting Things) ,& BRIEFLY NOTED: For 2022-01-25 Tu,
47213789.the-unqualified-to-opine-on-anything,2022-01-23T15:25:34.556Z,true,2022-01-23T15:25:34.623Z,newsletter,everyone,Þe Unqualified-to-Opine-on-Anything John Cochrane,& BRIEFLY NOTED: For 2022-01-23 Su,
47213778.in-which-i-plump-for-e-humanities,2022-01-20T22:57:31.188Z,true,2022-01-20T22:57:31.264Z,newsletter,everyone, In Which I Plump for þe Humanities…,& BRIEFLY NOTED: For 2022-01-20 Th,
47213757.70000-years-of-human-economic-growth,2022-01-22T01:04:23.044Z,true,2022-01-22T01:04:23.327Z,newsletter,everyone,"70,000 Years of Human Economic Growth, Briefly",& BRIEFLY NOTED: For 2022-01-21 Fr,
47120220.podcast-hexapodia-is-e-key-insight-8fb,2022-01-14T15:03:39.305Z,true,2022-01-14T15:03:39.382Z,podcast,everyone,"PODCAST: ""Hexapodia"" is þe Key Insight XXXIII: Inflation!",Noah Smith & Brad DeLong: Record the Podcast You Would Like to Hear!; Aspirationally-Weekly; Aspirationally Less than 60 Minutes,https://bucketeer-e05bbc84-baa3-437e-9518-adb32be77984.s3.amazonaws.com/public/audio/bd5fc893-3128-469a-ba6f-0ed56b7b006a.mpga
47086271.making-sense-of-friedrich-a-von-hayek,2022-01-13T21:23:15.384Z,true,2022-01-13T21:23:15.463Z,newsletter,everyone,Making Sense of Friedrich A. von Hayek,From 2014,
47028512.reading-john-holbo-2010-libertarianism,2022-01-12T23:29:39.767Z,true,2022-01-12T23:29:39.942Z,newsletter,everyone,"READING: John Holbo (2010): Libertarianism, Property Rights, & Self-Ownership",One of the classics of the Classic Blogosphere...,
46960101.implications-for-the-economy-of-biological,2022-01-16T19:04:47.760Z,true,2022-01-16T19:04:47.822Z,newsletter,everyone,Implications for þe Economy of Biological & Cultural Human Evolution,BRIEFLY NOTED: For 2022-01-16 Su ,
46780645.project-syndicate-pessimism-amid,2022-01-07T23:14:39.992Z,true,2022-01-07T23:14:40.084Z,newsletter,everyone,PROJECT SYNDICATE: Pessimism Amid Progress,"Jan 6, 2022 <https://www.project-syndicate.org/commentary/human-progress-with-fatal-weaknesses-by-j-bradford-delong-2022-01>",
46727739.outtake-democratizing-the-global,,false,,newsletter,only_paid,,,
46673733.why-isnt-there-an-inflation-non-panic,2022-01-11T17:52:35.289Z,true,2022-01-11T17:52:35.393Z,newsletter,everyone,Why Isn’t Þere an Inflation Non-Panic?,& BRIEFLY NOTED: FOR 2022-01-11 Tu,
46655954.reading-heinrich-heine-the-silesian,2022-01-06T02:54:51.863Z,true,2022-01-06T02:54:51.940Z,newsletter,everyone,"READING: Heinrich Heine: ""Þe Silesian Weavers""",From the Hungry 1840s...,
46607889.and-slouching-towards-utopia-is-a,2022-01-05T00:22:09.781Z,true,2022-01-05T00:22:09.858Z,newsletter,everyone,"& ""Slouching Towards Utopia"" Is a Go...","Forthcoming September 6, 2022, from Basic Books:",
46455467.document-franklin-delano-roosevelts,2022-03-04T19:47:37.200Z,true,2022-03-04T19:47:37.313Z,newsletter,everyone,DOCUMENT: Franklin Delano Roosevelt's First Inaugural Address,"March 4, 1933",
46454754.early-draft-project-syndicate-the,2022-01-01T22:42:19.305Z,true,,newsletter,everyone,EARLY DRAFT: PROJECT SYNDICATE: Þe Lack of Vision,The problems—very urgent problems—that the post-plague world has to deal with:,
46392503.reading-general-mcauliffe-at-bastogne,2022-03-25T03:34:35.947Z,true,2022-03-25T03:34:36.366Z,newsletter,everyone,READING: General McAuliffe at Bastogne,His 1944 Christmas Letter to the 101st Airborne,
46376735.south-african-omicron-mortality-03,2022-01-02T15:21:06.508Z,true,2022-01-02T15:21:06.572Z,newsletter,everyone,South African Omicron Mortality 0.3% vs. Delta 2%,& BRIEFLY NOTED: For 2022-01-01 Su,
46364713.the-late-antiquity-pause-and-the,2022-01-12T15:02:50.455Z,true,2022-01-12T15:02:50.527Z,newsletter,everyone,"Þe Late-Antiquity Pause, & þe “Bright Ages!”",& BRIEFLY NOTED: For 2022-01-12 We,
46311490.outtake-the-human-economy-10000-to,2021-12-29T16:41:20.797Z,true,2021-12-29T16:41:20.870Z,newsletter,everyone,OUTTAKE: Þe Human Economy: -8000 to 1870,"A piece excised from my forthcoming ""Slouching Towards Utopia"". Excised because, well, the history starts in 1870—not in -8000...",
46283952.stacking-josh-barro-and-sara-fay,2022-01-13T23:53:28.748Z,true,2022-01-13T23:53:28.831Z,newsletter,everyone,‘Stacking: Josh Barro (& Sara Fay) Join þe Horde,& BRIEFLY NOTED: For 2022-01-13 Th,
46282731.the-destinies-of-the-former-soviet,2022-01-20T15:11:03.031Z,true,2022-01-20T15:11:03.099Z,newsletter,everyone,Þe Destinies of þe Former Soviet Empire,& BRIEFLY NOTED: For 2022-01-19 We,
46267232.36-old-people-and-the-fox-and-allies,2022-01-17T14:40:08.871Z,true,2022-01-17T14:40:08.939Z,newsletter,everyone,Old People & þe Fox-&-Allies Brain Eater ,& BRIEFLY NOTED: For 2022-01-17 Mo,
46267215.i-cannot-believe-there-are-still,2022-01-06T14:08:44.537Z,true,2022-01-06T14:08:44.630Z,newsletter,everyone,I Cannot Believe Þere Are Still Economists Eagerly Riding þe Trump Train,& BRIEFLY NOTED: For 2022-01-06 Th,
46267196.high-patriarchy,2021-12-31T18:13:10.675Z,true,2021-12-31T18:13:10.768Z,newsletter,everyone,High Patriarchy,& BRIEFLY NOTED: For 2021-12-31 Fr,
46267043.what-is-the-proper-mood-to-have-when,2022-01-07T14:32:09.461Z,true,2022-01-07T14:32:09.564Z,newsletter,only_paid,What Is þe Proper Mood to Have When Thinking About þe Minimum Wage?,& BRIEFLY NOTED: For 2022-01-07 Fr,
46261992.trying-to-grasp-the-reality-of-china,2022-01-09T21:08:43.848Z,true,2022-01-09T21:08:43.921Z,newsletter,everyone,Trying to Grasp þe Reality of China Today,& BRIEFLY NOTED: For 2022-01-09 Su,
46261951.economic-creative-destruction-in,2022-01-04T14:59:52.127Z,true,2022-01-04T14:59:52.205Z,newsletter,everyone,"Economic Creative Destruction in Los Angeles, 1989-1993",& BRIEFLY NOTED: For 2022-01-04 Tu,
45994957.get-vaccinated-and-boosted-2021-12,2021-12-30T03:07:39.016Z,true,2021-12-30T03:07:39.088Z,newsletter,everyone,GET VACCINATED & BOOSTED!,& BRIEFLY NOTED: For 2021-12-29 We,
45972656.omicron-is-here-in-the-us,2021-12-24T17:19:18.513Z,true,2021-12-24T17:19:18.566Z,newsletter,everyone,Omicron Is Here in the U.S.,"& BRIEFLY NOTED: For December 24, 2021",
45931321.reading-kwame-anthony-appiah-on-graeber,2021-12-29T00:36:26.975Z,true,2021-12-29T00:36:27.049Z,newsletter,everyone,READING: Kwame Anthony Appiah: On Graeber & Wengrow,"Yes, ""The Dawn of Everything"" does not play it straight. Why should anyone think it did?",
45885355.american-nationalisms-and-the-american,2021-12-31T00:15:43.106Z,true,2021-12-31T00:15:43.181Z,newsletter,everyone,American Nationalisms & þe American Revolution,& BRIEFLY NOTED: For 2021-12-30 Th,
45835345.the-inflation-outlook,,false,,newsletter,only_paid,,,
45812268.outtake-the-arrival-of-modern-feminism,2021-12-21T14:17:53.851Z,true,2021-12-21T14:17:53.969Z,newsletter,everyone,OUTTAKE: Þe Arrival of Modern Feminism,"An outtake from my forthcoming ""Slouching Towards Utopia: An Economic History of the 20th Century""...",
45811271.against-meritocracy,2021-12-29T04:21:01.053Z,true,2021-12-29T04:21:01.133Z,newsletter,everyone,Against Meritocracy,& BRIEFLY NOTED: For 2021-12-28 Tu,
45786734.omicron-is-here-so-hunkeruntil-it,2021-12-21T01:15:19.301Z,true,2021-12-21T01:15:19.430Z,newsletter,everyone,Omicron Is Here: So Hunker—Until It Is Clear Þt Þis Is Lower-Mortality...,& BRIEFLY NOTED: For 2021-12-21 Tu,
45784413.hoisted-from-the-archives-chaucer,2021-12-21T00:26:52.275Z,true,2021-12-21T00:26:52.337Z,newsletter,everyone,"HOISTED FROM THE ARCHIVES: Chaucer on ""Chevauchée""",From 2003...,
